_id,brand,category,model,quantity,channels,distortion,snratio,frequencyresponse,outputpower,dimensionsh,dimensionsw,dimensionsl,size,sensitivity,configuration,peakwatts,rmswatts,mountingdepth,preouts,weight,amperehours,voltage,description,price,bluetooth,usb,cdrrw,mp3,wma,builtinamp,__v,wave,upc,spiff,cost
5a9307b63ca5578b54818941,Audison,Amps,SR1DK,-8,1,0.3,85,0,0,2.13,8.44,16.06,,0,,0,0,0,0,0,0,0,"SR 1Dk is a powerful mono Digital amplifier representing maximum expandability in terms of power and configuration capability. Featuring a PRE OUT recreated from the hi-level speakers inputs and by-passable full configurable crossover along with its abillity to operate in ""cascade"" mode linking many amplifiers together, its extreme versatility makes it a premium product.",649.99,false,false,false,false,false,false,0,,1200003028,15,450
5a93149a7cb1d836f8a4182d,JVC,CD Players,KD-R330,0,0,0,0,0,0,0,0,0,,0,SD CD Player,0,0,0,1,0,0,0,Bluetooth Ready In-Dash CD Receiver with Dual AUX Inputs and wireless remote control.,89.95,true,true,true,true,true,true,0,,,,69.99
5a9315433cb382e05101ffc2,Kinetik,Power Cells,HC600BLU,2,0,0,0,0,600,7,3,6.5,,0,,0,0,0,0,14,0,12,More powerful than 100 1-farad caps! Extreme power in a small package. Mount near your amplifier for tons of power reinforcement. Easily starts a V8 engine!,89.99,false,false,false,false,false,false,0,,,,50
5a9c4adef2311a572c47d031,Addictive Audio,Amps,50.1D,-2,1,0.5,95,0,695,2.38,8.5,12.75,,0,,0,0,0,0,0,0,0,"Elite amplifiers are manufactured with only the best components. Starting with the heavy duty black anodized aluminum heatsink with the Addictive Audio logo laser etched on the face (not another peel and stick logo). The heatsink is engineered with multiple vertical and horizontal fins to provide maximum heat dissipation to avoid having to introduce noisy cooling fans into the circuitry. Internally the FETs are vertically clamped against the sides of the heatsink to move heat to the side fins. Also, by vertically mounting the FETs this reduces the heatsink footprint by 2 inches in width. All Elite amplifiers have dual power supplies, only gold banded resistors are used throughout, dual handwound power supply transformers, aluminum shaft potentiometers, and all components are soldered into the best available printed circuit board.",249.99,false,false,false,false,false,false,0,,,,199.99
5a9c4b92f2311a572c47d032,Addictive Audio,Speakers,GCX46,2,0,0,0,,0,0,0,0,4x6,84.7,2-way Coax,110,45,0,0,0,0,0,"The Gateway Series coaxial speakers are an affordable route for one to begin their Addictive Audio journey of becoming hooked. Being that these would be many peoples first introduction to Addictive Audio, the pressure was on to build a great sounding speaker that like our other products excelled in both performance and quality while maintaining the affordability factor. The same techniques and materials used on our very successful Version 1 woofers has been integrated into the Gateway Series coaxials in regards to the cone, suspension and surround.",89.99,false,false,false,false,false,false,0,,,,49.99
5a9c4c03f2311a572c47d033,Addictive Audio,Subwoofers,NFW69,1,0,0,0,0,0,0,0,0,6x9,0,,350,150,,0,0,0,0,"The NFW69 is our approach to the shallow woofer idea. It seems every manufacturer now days has a flat pancake woofer in their line up. With the ever growing demand due to less space being provided by the auto manufacturers it was time for Addictive Audio to present to the market a shallow solution. We like to think outside the box and needed a woofer that not only could be mounted in less than 4 in. mounting depth, but a woofer that could really play the low frequencies that often are missing from the pancake design.",165.99,false,false,false,false,false,false,0,,,,99.99
5a9c53b3573e3806a894b285,Addictive Audio,Subwoofers,EXCRUCI8,-2,0,0,0,0,0,0,0,0,8,0,,600,300,0,0,0,0,0,Once loaded into an enclosure this seemingly small woofer sends people into shock over the amount of output being created. The first time you hear an Excruci8 you too will find yourself in disbelief that it is playing louder and lower than other companies 10's and 12's. Get your mirrors shaking and spectators flipping out with one of these little Monsters!,149.99,false,false,false,false,false,false,0,,,,89.99
5b2c960c80acfd1eac07e33e,Audison,Speakers,asdw,5,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,,65,false,false,false,false,false,false,0,,121290,12,35
